order_details_id,order_id,pizza_id,quantity
1,1,hawaiian_m,5
2,2,classic_dlx_m,2
3,2,five_cheese_l,1
4,2,ital_supr_l,3
5,2,mexicana_m,3
6,2,thai_ckn_l,2
7,3,ital_supr_m,5
8,3,prsc_argla_l,5
9,4,ital_supr_m,1
10,5,ital_supr_m,5
11,6,bbq_ckn_s,2
12,6,the_greek_s,4
13,7,spinach_supr_s,1
14,8,spinach_supr_s,1
15,9,classic_dlx_s,3
16,9,green_garden_s,1
17,9,ital_cpcllo_l,3
18,9,ital_supr_l,3
19,9,ital_supr_s,2
20,9,mexicana_s,2
21,9,spicy_ital_l,1
22,9,spin_pesto_l,1
23,9,veggie_veg_s,3
24,10,mexicana_l,2
25,10,southw_ckn_l,1
26,11,bbq_ckn_l,3
27,11,cali_ckn_l,1
28,11,cali_ckn_m,1
29,11,pepperoni_l,1
30,12,cali_ckn_l,3
31,12,cali_ckn_s,3
32,12,ckn_pesto_l,3
33,12,ital_supr_m,4
34,13,mexicana_l,3
35,14,the_greek_s,4
36,15,big_meat_s,4
37,15,five_cheese_l,1
38,15,soppressata_l,3
39,15,the_greek_s,4
40,16,four_cheese_l,3
41,16,napolitana_s,1
42,16,thai_ckn_l,1
43,17,bbq_ckn_l,5
44,17,calabrese_m,5
45,17,five_cheese_l,5
46,17,four_cheese_m,4
47,17,ital_supr_m,5
48,17,ital_veggie_s,4
49,17,mediterraneo_m,3
50,17,mexicana_l,5
51,17,peppr_salami_s,5
52,17,spinach_fet_l,4
53,18,napolitana_l,3
54,19,ital_cpcllo_l,2
55,19,sicilian_l,1
56,20,big_meat_s,1
57,20,five_cheese_l,1
58,21,ital_cpcllo_l,1
59,22,five_cheese_l,3
60,22,ital_cpcllo_m,3
61,22,southw_ckn_l,5
62,23,southw_ckn_s,2
63,24,bbq_ckn_m,1
64,24,ital_cpcllo_m,2
65,24,pepperoni_m,1
66,24,prsc_argla_s,3
67,25,sicilian_m,2
68,25,thai_ckn_l,3
69,26,classic_dlx_s,3
70,26,veggie_veg_l,5
71,27,bbq_ckn_l,5
72,27,classic_dlx_m,2
73,27,spinach_fet_l,1
74,28,ckn_alfredo_s,4
75,29,green_garden_s,5
76,30,thai_ckn_l,3
77,31,mexicana_m,3
78,31,pepperoni_s,2
79,32,big_meat_s,5
80,32,green_garden_l,3
81,32,ital_cpcllo_l,1
82,32,ital_supr_m,2
83,33,bbq_ckn_l,4
84,33,green_garden_s,1
85,34,the_greek_s,2
86,35,green_garden_m,1
87,35,pep_msh_pep_l,4
88,35,pepperoni_m,1
89,35,thai_ckn_l,1
90,36,bbq_ckn_m,1
91,36,classic_dlx_m,1
92,37,ital_supr_l,2
93,37,mexicana_l,1
94,38,hawaiian_s,2
95,38,ital_cpcllo_l,1
96,39,ital_supr_l,1
97,40,four_cheese_l,2
98,40,southw_ckn_s,4
99,41,four_cheese_m,5
100,41,green_garden_s,1
101,42,big_meat_s,1
102,42,five_cheese_l,1
103,42,mexicana_l,2
104,42,peppr_salami_m,3
105,43,ckn_alfredo_m,1
106,43,ital_supr_m,5
107,43,peppr_salami_l,5
108,44,spin_pesto_s,2
109,45,four_cheese_l,2
110,45,hawaiian_s,1
111,45,thai_ckn_m,1
112,46,ckn_pesto_l,3
113,46,classic_dlx_l,2
114,46,thai_ckn_m,3
115,47,southw_ckn_l,3
116,47,veggie_veg_s,3
117,48,ckn_pesto_m,2
118,48,green_garden_s,1
119,48,prsc_argla_l,2
120,48,spicy_ital_l,1
121,49,sicilian_l,1
122,50,the_greek_xl,5
123,51,bbq_ckn_l,2
124,51,pep_msh_pep_l,4
125,52,hawaiian_l,3
126,52,mexicana_l,2
127,52,spicy_ital_l,5
128,53,pep_msh_pep_s,4
129,53,spinach_supr_m,3
130,54,prsc_argla_m,2
131,54,thai_ckn_l,1
132,55,peppr_salami_s,1
133,55,spicy_ital_l,2
134,56,classic_dlx_m,3
135,56,mediterraneo_l,1
136,56,southw_ckn_m,5
137,57,classic_dlx_m,5
138,58,five_cheese_l,5
139,58,pepperoni_m,1
140,59,ital_veggie_s,5
141,59,pep_msh_pep_s,1
142,59,pepperoni_l,5
143,60,ckn_pesto_l,5
144,60,four_cheese_m,5
145,61,bbq_ckn_m,2
146,61,ital_supr_l,5
147,62,bbq_ckn_m,5
148,62,spinach_supr_m,3
149,63,pep_msh_pep_m,1
150,64,big_meat_s,3
151,65,pep_msh_pep_s,4
152,65,sicilian_s,5
153,65,spicy_ital_s,3
154,65,spinach_supr_m,2
155,66,classic_dlx_m,1
156,66,ital_cpcllo_m,4
157,67,southw_ckn_l,2
158,68,classic_dlx_m,5
159,68,ital_supr_l,2
160,68,ital_supr_m,2
161,69,bbq_ckn_l,4
162,70,ital_veggie_s,5
163,70,soppressata_l,5
164,71,thai_ckn_l,1
165,72,spinach_fet_l,2
166,73,thai_ckn_s,5
167,74,five_cheese_l,1
168,74,mexicana_l,4
169,74,spin_pesto_s,3
170,74,spinach_supr_l,2
171,75,ital_supr_s,4
172,75,mediterraneo_l,5
173,75,napolitana_l,1
174,76,big_meat_s,1
175,76,hawaiian_l,1
176,76,ital_veggie_l,1
177,76,spicy_ital_l,3
178,77,bbq_ckn_m,3
179,77,hawaiian_m,1
180,78,big_meat_s,2
181,78,classic_dlx_s,3
182,78,four_cheese_l,1
183,78,ital_cpcllo_m,4
184,78,spicy_ital_l,1
185,78,thai_ckn_s,4
186,79,ital_cpcllo_l,1
187,79,pep_msh_pep_s,5
188,79,thai_ckn_l,3
189,80,pepperoni_s,1
190,80,thai_ckn_m,5
191,81,thai_ckn_l,3
192,82,big_meat_s,2
193,82,cali_ckn_m,1
194,82,spicy_ital_l,1
195,82,veggie_veg_m,2
196,83,southw_ckn_s,1
197,84,pepperoni_l,5
198,85,classic_dlx_m,2
199,85,classic_dlx_s,5
200,85,ital_supr_l,3
201,85,the_greek_m,5
202,86,hawaiian_l,4
203,87,ital_cpcllo_m,2
204,87,mexicana_m,2
205,87,spinach_supr_l,5
206,87,spinach_supr_s,3
207,88,five_cheese_l,3
208,89,soppressata_l,3
209,89,thai_ckn_l,3
210,90,sicilian_l,3
211,90,thai_ckn_s,4
212,91,bbq_ckn_l,4
213,91,ckn_pesto_s,3
